親カテゴリ,H.集計フラグ,H.店舗,H.伝票番号,H.伝票番号枝番,H.元伝票番号,H.合算先伝票番号,H.集計対象営業年月日,H.集計営業年,H.集計営業月,H.集計営業日,H.曜日,H.支払ステータス,H.伝票発行日,H.伝票処理日,H.テーブル番号,H.客数（合計）,H.客数（男）,H.客数（女）,H.深夜料金,H.テーブルチャージ料金,H.サービス料金,H.総商品数,H.伝票金額,H.伝票税額,H.免税額（一般品）,H.免税額（消耗品）,D.免税区分,D.免税額,H.値引金額,H.値割引科目別金額（割引_*nothing*）,H.支払金額（現金）,H.支払金額（クレジットカード）,H.支払金額（ポイント）,H.支払金額（電子マネー）,H.支払金額（商品券：釣り無）,H.支払金額（商品券：釣り有）,H.支払金額（その他）,H.レジ担当者ID,H.スタイリスト（理美容のみ）,H.受付番号,H.テーブル合算後伝票番号,H.税集計区分,H.支払メモ,H.領収書発行回数,H.領収書発行最終日付,H.キッチンプリンタ印字成否,H.キッチンプリンタ印字日付,H.レシートプリンタ印字成否,H.レシートプリンタ印字日付,H.基幹転送成否,H.基幹転送日付,C.お客様,C.お客様代表,C.客層,D.オーダー番号,D.商品カテゴリ1,D.商品カテゴリ2,D.商品カテゴリ3,D.商品カテゴリ4,D.商品カテゴリ5,D.帳票集計対象商品,D.商品,D.サブメニュー,D.商品印字成否,D.サブメニュー印字成否,D.価格,D.数量,D.優先ステータス,D.オーダーメモ,D.オーダー担当者,D.オーダー日時,D.配膳済担当者,D.配膳済日時,D.オーダーキャンセル担当者,D.オーダーキャンセル日時,D.オーダーステータス
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,42,ドリンク,ドリンク,,,,Yes,00000000819:ソーダ,,1:成功,,380,1,0:設定なし,,0301:店長,2018/06/01 18:33:32,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,43,ドリンク,ドリンク,,,,Yes,00000000819:ソーダ,,1:成功,,380,1,0:設定なし,,0301:店長,2018/06/01 19:06:23,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,22,ドリンク,ドリンク,,,,Yes,00000000819:ソーダ,,1:成功,,380,1,0:設定なし,,0301:店長,2018/06/01 17:19:12,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,27,ドリンク,単品 果実酒,,,,Yes,00000000741:あらごし桃酒,ロックx1,1:成功,,620,1,0:設定なし,,0301:店長,2018/06/01 17:33:42,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,41,ドリンク,単品 果実酒,,,,Yes,00000000741:あらごし桃酒,ロックx1,1:成功,,620,1,0:設定なし,,0303:アルバイト,2018/06/01 18:28:43,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,40,ドリンク,単品 果実酒,,,,Yes,00000000740:あらごし梅酒,ロックx1,1:成功,,620,1,0:設定なし,,0303:アルバイト,2018/06/01 18:28:43,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,19,ドリンク,単品 ウィスキー,,,,Yes,00000000730:ハイボール,,1:成功,,450,1,0:設定なし,,0301:店長,2018/06/01 17:08:17,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,28,ドリンク,単品 ウィスキー,,,,Yes,00000000730:ハイボール,,1:成功,,450,1,0:設定なし,,0301:店長,2018/06/01 17:33:42,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,35,ドリンク,単品 ウィスキー,,,,Yes,00000000730:ハイボール,,1:成功,,450,1,0:設定なし,,0301:店長,2018/06/01 18:04:00,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,37,ドリンク,単品 ウィスキー,,,,Yes,00000000730:ハイボール,,1:成功,,450,1,0:設定なし,,0303:アルバイト,2018/06/01 18:28:23,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,44,ドリンク,単品 ウィスキー,,,,Yes,00000000730:ハイボール,,1:成功,,450,1,0:設定なし,,0301:店長,2018/06/01 19:06:23,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,31,ドリンク,芋焼酎グラス,,,,Yes,00000000722:富乃宝山,お湯割りx1,1:成功,,680,1,0:設定なし,,0301:店長,2018/06/01 17:51:27,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,21,ドリンク,ワイン,,,,Yes,00000000974:赤ワイン,,1:成功,,480,1,0:設定なし,,0301:店長,2018/06/01 17:19:12,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,33,フード,大和の和え野菜,,,,Yes,00000000644:豪快山賊サラダ,,1:成功,,780,1,0:設定なし,,0301:店長,2018/06/01 18:04:00,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,32,フード,大和の和え野菜,,,,Yes,00000000647:豪快ポテトサラダ,,1:成功,,520,1,0:設定なし,,0301:店長,2018/06/01 18:04:00,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,13,フード,鮮魚,,,,Yes,00000000650:しめ鯖のお造り,炙りx1,1:成功,,650,1,0:設定なし,,0301:店長,2018/06/01 17:01:04,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,14,フード,鮮魚,,,,Yes,00000000650:しめ鯖のお造り,炙りx1,1:成功,,650,1,0:設定なし,,0301:店長,2018/06/01 17:01:04,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,12,フード,鮮魚,,,,Yes,00000000654:豪快山賊造り,,1:成功,,1580,1,0:設定なし,,0301:店長,2018/06/01 17:01:04,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,16,フード,山賊の揚げ物,,,,Yes,00000000663:ゴボウの唐揚げ,,1:成功,,420,1,0:設定なし,,0301:店長,2018/06/01 17:01:04,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,17,フード,山賊の揚げ物,,,,Yes,00000000664:若鶏の唐揚げ,,1:成功,,580,1,0:設定なし,,0301:店長,2018/06/01 17:01:04,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,15,フード,山賊の揚げ物,,,,Yes,00000000666:天ぷら盛り合わせ,,1:成功,,980,1,0:設定なし,,0301:店長,2018/06/01 17:01:04,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,34,フード,山賊の逸品,,,,Yes,00000000673:こだわりの出汁巻き,,1:成功,,620,1,0:設定なし,,0301:店長,2018/06/01 18:04:00,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,25,フード,囲炉裏焼き,,,,Yes,00000000678:胡麻味噌きりたんぽ1本,,1:成功,,400,1,0:設定なし,,0301:店長,2018/06/01 17:33:42,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,26,フード,囲炉裏焼き,,,,Yes,00000000679:生麩の田楽焼き,,1:成功,,680,1,0:設定なし,,0301:店長,2018/06/01 17:33:42,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,49,フード,山賊の甘味,,,,Yes,00000000694:柚子シャーベット,,1:成功,,380,1,0:設定なし,,0301:店長,2018/06/01 19:30:29,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,48,フード,山賊の甘味,,,,Yes,00000000694:柚子シャーベット,,1:成功,,380,1,0:設定なし,,0301:店長,2018/06/01 19:30:29,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,47,フード,山賊の甘味,,,,Yes,00000000694:柚子シャーベット,,1:成功,,380,1,0:設定なし,,0301:店長,2018/06/01 19:30:29,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,46,フード,山賊の甘味,,,,Yes,00000000694:柚子シャーベット,,1:成功,,380,1,0:設定なし,,0301:店長,2018/06/01 19:30:29,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,23,ドリンク,ビール,,,,Yes,00000000700:プレミアムモルツ,,1:成功,,480,1,0:設定なし,,0301:店長,2018/06/01 17:20:33,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,6,ドリンク,ビール,,,,Yes,00000000700:プレミアムモルツ,,1:成功,,480,1,0:設定なし,,0301:店長,2018/06/01 16:55:58,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,18,ドリンク,ビール,,,,Yes,00000000700:プレミアムモルツ,,1:成功,,480,1,0:設定なし,,0301:店長,2018/06/01 17:07:03,, ,, ,20:配膳済
